                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.84685,                0.68569,                0.95552,                0.72362,                0.32046,                0.36835,                0.28318,                0.98175,                 1.8513,                   1.03,             0.00010365,             0.00010365,             0.00010365
                     81,                0.85456,                0.70004,                 0.9546,                0.67459,                0.33173,                0.37942,                0.29255,                 0.9759,                 1.8064,                 1.0171,             9.9144e-05,             9.9144e-05,             9.9144e-05
                     82,                 0.8452,                0.68922,                0.95453,                0.65958,                0.34041,                0.37347,                0.28818,                0.98043,                 1.8301,                  1.026,              9.464e-05,              9.464e-05,              9.464e-05
                     83,                 0.8521,                0.68616,                0.95545,                 0.6699,                0.33747,                0.36949,                0.28507,                0.98511,                 1.8619,                 1.0235,             9.0135e-05,             9.0135e-05,             9.0135e-05
                     84,                0.83742,                0.67772,                0.95162,                0.64377,                0.33791,                0.37353,                0.28852,                0.97673,                 1.8721,                 1.0278,             8.5631e-05,             8.5631e-05,             8.5631e-05
                     85,                0.83346,                 0.6836,                0.94787,                 0.7087,                0.32534,                0.37195,                0.28672,                0.97875,                 1.8469,                 1.0253,             8.1127e-05,             8.1127e-05,             8.1127e-05
                     86,                0.83461,                0.67306,                0.94775,                0.64719,                0.33749,                0.37137,                0.28671,                0.96822,                 1.8608,                 1.0202,             7.6622e-05,             7.6622e-05,             7.6622e-05
                     87,                0.83386,                  0.672,                0.94838,                0.70572,                0.33881,                0.37619,                0.29167,                0.97427,                 1.8408,                 1.0234,             7.2118e-05,             7.2118e-05,             7.2118e-05
                     88,                0.82292,                0.65537,                0.94633,                0.66353,                0.34732,                0.37734,                0.29354,                0.97784,                 1.8705,                 1.0258,             6.7613e-05,             6.7613e-05,             6.7613e-05
                     89,                0.81896,                0.65661,                0.94426,                0.69047,                 0.3371,                 0.3803,                0.29494,                0.97498,                 1.8422,                 1.0247,             6.3109e-05,             6.3109e-05,             6.3109e-05
                     90,                0.82861,                0.65142,                0.94968,                0.63688,                0.35878,                0.38192,                0.29725,                0.96861,                 1.8236,                 1.0181,             5.8604e-05,             5.8604e-05,             5.8604e-05
                     91,                0.74509,                0.56929,                0.88519,                0.65452,                0.34021,                0.36632,                0.28532,                0.98029,                 1.8733,                 1.0186,             5.4099e-05,             5.4099e-05,             5.4099e-05
                     92,                0.73199,                0.53725,                0.88123,                0.64587,                0.33382,                0.37047,                0.28668,                0.97754,                 1.8504,                 1.0171,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     93,                0.73242,                0.53085,                0.87831,                0.69872,                0.33556,                0.37441,                0.29218,                0.97496,                 1.8341,                 1.0168,              4.509e-05,              4.509e-05,              4.509e-05
                     94,                0.72185,                0.52406,                0.87979,                0.70523,                0.33416,                0.37256,                0.29017,                 0.9712,                 1.8347,                 1.0128,             4.0586e-05,             4.0586e-05,             4.0586e-05
                     95,                0.72377,                0.52006,                0.87949,                0.69613,                0.33674,                0.37386,                0.28951,                0.97503,                 1.8348,                 1.0185,             3.6081e-05,             3.6081e-05,             3.6081e-05
                     96,                0.71444,                0.51467,                0.87204,                0.69977,                0.34366,                 0.3767,                0.29162,                0.97652,                 1.8346,                 1.0199,             3.1577e-05,             3.1577e-05,             3.1577e-05
                     97,                0.72225,                0.51468,                0.87442,                0.69396,                0.34849,                0.37838,                0.29371,                0.97435,                 1.8455,                 1.0181,             2.7073e-05,             2.7073e-05,             2.7073e-05
                     98,                0.71115,                0.50529,                0.87546,                0.71745,                0.33975,                0.37861,                0.29468,                0.97623,                 1.8421,                 1.0171,             2.2568e-05,             2.2568e-05,             2.2568e-05
                     99,                0.70873,                 0.5064,                0.87062,                0.68271,                0.34704,                0.37738,                0.29397,                0.96915,                  1.843,                 1.0136,             1.8064e-05,             1.8064e-05,             1.8064e-05
                    100,                0.71009,                0.49976,                0.87175,                0.70122,                0.34079,                0.37811,                0.29527,                0.96639,                 1.8375,                  1.013,             1.3559e-05,             1.3559e-05,             1.3559e-05
